Time_ID,Date,Employee_ID,In Time,Out Time
1,01/01/2015,1,10:33:00 AM,4:13:00 PM
2,01/01/2015,2,5:53:00 PM,10:16:00 PM
3,01/01/2015,3,11:10:00 AM,3:31:00 PM
4,01/01/2015,4,5:31:00 PM,11:01:00 PM
5,01/01/2015,5,5:15:00 PM,11:16:00 PM
6,01/01/2015,6,11:07:00 AM,3:23:00 PM
7,01/01/2015,7,11:10:00 AM,5:25:00 PM
8,01/01/2015,8,5:36:00 PM,11:57:00 PM
9,01/01/2015,9,5:49:00 PM,10:02:00 PM
10,01/01/2015,10,5:02:00 PM,10:59:00 PM
11,01/01/2015,11,11:41:00 AM,3:32:00 PM
12,01/01/2015,12,11:47:00 AM,3:53:00 PM
13,01/01/2015,13,5:04:00 PM,11:14:00 PM
14,01/01/2015,14,11:39:00 AM,3:41:00 PM
15,01/01/2015,15,10:24:00 AM,3:32:00 PM
16,01/01/2015,16,5:01:00 PM,11:29:00 PM
17,01/01/2015,17,11:45:00 AM,3:32:00 PM
18,01/01/2015,18,11:17:00 AM,3:13:00 PM
19,01/01/2015,19,4:12:00 PM,10:11:00 PM
20,01/01/2015,20,10:38:00 AM,3:46:00 PM
21,01/01/2015,21,5:36:00 PM,10:19:00 PM
22,01/01/2015,22,11:16:00 AM,5:19:00 PM
23,01/01/2015,23,4:23:00 PM,11:35:00 PM
24,01/01/2015,24,4:51:00 PM,11:52:00 PM
25,01/01/2015,25,11:25:00 AM,3:56:00 PM
26,01/01/2015,26,11:50:00 AM,5:59:00 PM
27,01/01/2015,27,4:41:00 PM,10:30:00 PM
28,01/01/2015,28,10:32:00 AM,5:59:00 PM
29,01/01/2015,29,5:55:00 PM,10:42:00 PM
30,02/01/2015,1,11:46:00 AM,3:22:00 PM
31,02/01/2015,2,5:29:00 PM,11:46:00 PM
32,02/01/2015,3,11:07:00 AM,4:00:00 PM
33,02/01/2015,4,4:43:00 PM,11:44:00 PM
34,02/01/2015,5,5:43:00 PM,10:59:00 PM
35,02/01/2015,6,10:40:00 AM,4:09:00 PM
36,02/01/2015,7,10:47:00 AM,4:08:00 PM
37,02/01/2015,8,4:57:00 PM,11:55:00 PM
38,02/01/2015,9,4:55:00 PM,10:10:00 PM
39,02/01/2015,10,5:35:00 PM,11:13:00 PM
40,02/01/2015,11,11:40:00 AM,3:25:00 PM
41,02/01/2015,12,11:34:00 AM,3:14:00 PM
42,02/01/2015,13,5:22:00 PM,11:30:00 PM
43,02/01/2015,14,11:45:00 AM,4:34:00 PM
44,02/01/2015,15,10:42:00 AM,4:26:00 PM
45,02/01/2015,16,4:25:00 PM,11:44:00 PM
46,02/01/2015,17,10:46:00 AM,5:09:00 PM
47,02/01/2015,18,10:17:00 AM,3:35:00 PM
48,02/01/2015,19,4:57:00 PM,11:44:00 PM
