ORDER_ID,ORDER_DATE,ORDER_TIME,ORDER_PRICE,PEOPLE,TABLE_NO,STATUS,SHIFT,EMPLOYEE_ID,KITCHEN_STAFF,Status
1,1/1/2015,11:38:36 AM,66,,,Take away,Morning,6,12,Completed
2,1/1/2015,11:57:40 AM,460,5,8,Dine in with Reservation,Morning,22,17,Completed
3,1/1/2015,12:12:28 PM,186,2,1,Dine in with Reservation,Morning,25,17,Completed
4,1/1/2015,12:16:31 PM,83,,,Take away,Morning,6,11,Completed
5,1/1/2015,12:21:30 PM,83,1,2,Dine in with Reservation,Morning,25,17,Completed
6,1/1/2015,12:29:36 PM,124,2,3,Dine in with Reservation,Morning,25,11,Completed
7,1/1/2015,12:50:37 PM,63,,,Take away,Morning,7,12,Completed
8,1/1/2015,12:51:37 PM,63,,,Take away,Morning,7,12,Completed
9,1/1/2015,12:52:01 PM,716,9,10,Dine in with Reservation,Morning,22,1,Completed
10,1/1/2015,1:00:15 PM,205,2,1,Dine in with Reservation,Morning,22,1,Completed
11,1/1/2015,1:02:59 PM,368,,,Take away,Morning,7,12,Completed
12,1/1/2015,1:04:41 PM,354,,,Take away,Morning,6,12,Completed
13,1/1/2015,1:11:55 PM,101,1,2,Dine in with Reservation,Morning,25,1,Completed
14,1/1/2015,1:14:19 PM,60,1,3,Dine in with Reservation,Morning,25,11,Completed
15,1/1/2015,1:33:00 PM,316,,,Take away,Morning,7,1,Completed
16,1/1/2015,1:34:07 PM,254,3,4,Dine in with Reservation,Morning,25,17,Completed
17,1/1/2015,1:53:00 PM,923,,,Take away,Morning,7,12,Completed
18,1/1/2015,1:57:08 PM,103,1,1,Dine in with Reservation,Morning,22,17,Completed
19,1/1/2015,1:59:09 PM,204,2,2,Dine in with Reservation,Morning,25,1,Completed
20,1/1/2015,2:03:08 PM,153,,,Take away,Morning,6,11,Completed
21,1/1/2015,2:14:29 PM,103,1,3,Dine in with Reservation,Morning,22,11,Completed
22,1/1/2015,2:16:26 PM,276,,,Take away,Morning,6,18,Completed
23,1/1/2015,2:19:03 PM,64,,,Take away,Morning,6,12,Completed
24,1/1/2015,2:23:01 PM,289,4,6,Dine in with Reservation,Morning,25,1,Completed
25,1/1/2015,2:44:44 PM,185,2,1,Dine in with Reservation,Morning,22,18,Completed
26,1/1/2015,2:54:26 PM,161,2,2,Dine in without Reservation,Morning,22,18,Completed
27,1/1/2015,3:11:17 PM,285,,,Take away,Morning,6,11,Completed
28,1/1/2015,3:35:46 PM,64,,,Take away,Morning,7,11,Completed
29,1/1/2015,3:41:01 PM,60,1,3,Dine in with Reservation,Morning,22,12,Completed
30,1/1/2015,3:41:25 PM,104,,,Take away,Morning,6,11,Completed
31,1/1/2015,3:50:18 PM,129,2,1,Dine in with Reservation,Morning,22,11,Completed
32,1/1/2015,3:53:18 PM,346,,,Take away,Morning,7,11,Completed
33,1/1/2015,3:54:08 PM,164,,,Take away,Morning,6,11,Completed
34,1/1/2015,4:21:21 PM,60,,,Take away,Morning,6,17,Completed
35,1/1/2015,4:32:04 PM,334,,,Take away,Morning,6,17,Completed
36,1/1/2015,4:54:09 PM,164,2,2,Dine in with Reservation,Morning,22,17,Completed
37,1/1/2015,4:56:09 PM,205,2,3,Dine in with Reservation,Morning,25,1,Completed
38,1/1/2015,5:03:00 PM,155,2,1,Dine in with Reservation,Night,24,16,Completed
39,1/1/2015,5:07:23 PM,104,1,2,Dine in without Reservation,Night,24,9,Completed
40,1/1/2015,5:14:36 PM,154,,,Take away,Night,8,9,Completed
41,1/1/2015,5:15:20 PM,134,,,Take away,Night,5,9,Completed
42,1/1/2015,5:28:09 PM,336,4,7,Dine in with Reservation,Night,24,2,Completed
43,1/1/2015,5:38:34 PM,270,,,Take away,Night,8,10,Completed
44,1/1/2015,5:54:20 PM,63,1,3,Dine in with Reservation,Night,23,9,Completed
