BOOKING_ID,RESERVATION_DATE,RESERVATION_TIME,ARRIVAL_TIME,PEOPLE,PURPOSE,STATUS_ORDER,TABLE_NUMBER
1,01/01/2015,11:45:00 AM,11:57:00 AM,5,Dinner with Friends,Ok,8
2,01/01/2015,12:00:00 PM,12:12:00 PM,2,Sweet Anniversary,Ok,1
3,01/01/2015,12:15:00 PM,12:21:00 PM,1,Single Dinner,Ok,2
4,01/01/2015,12:15:00 PM,12:29:00 PM,2,Sweet Anniversary,Ok,3
5,01/01/2015,12:45:00 PM,12:52:00 PM,9,Important Date,Ok,10
6,01/01/2015,1:00:00 PM,1:00:00 PM,2,Sweet Anniversary,Ok,1
7,01/01/2015,1:00:00 PM,1:11:00 PM,1,Single Dinner,Ok,2
8,01/01/2015,1:00:00 PM,1:14:00 PM,1,Single Dinner,Ok,3
9,01/01/2015,1:30:00 PM,1:34:00 PM,3,Dinner with Friends,Ok,4
10,01/01/2015,1:45:00 PM,1:57:00 PM,1,Single Dinner,Ok,1
11,01/01/2015,1:45:00 PM,1:59:00 PM,2,Sweet Anniversary,Ok,2
12,01/01/2015,2:00:00 PM,2:14:00 PM,1,Single Dinner,Ok,3
13,01/01/2015,2:15:00 PM,2:23:00 PM,4,Dinner with Friends,Ok,6
14,01/01/2015,2:30:00 PM,2:44:00 PM,2,Sweet Anniversary,Ok,1
15,01/01/2015,3:30:00 PM,3:41:00 PM,1,Single Dinner,Ok,3
16,01/01/2015,3:45:00 PM,3:50:00 PM,2,Sweet Anniversary,Ok,1
17,01/01/2015,4:45:00 PM,4:54:00 PM,2,Sweet Anniversary,Ok,2
18,01/01/2015,4:45:00 PM,4:56:00 PM,2,Sweet Anniversary,Ok,3
19,01/01/2015,5:00:00 PM,5:03:00 PM,2,Sweet Anniversary,Ok,1
20,01/01/2015,5:15:00 PM,5:28:00 PM,4,Dinner with Friends,Ok,7
21,01/01/2015,5:45:00 PM,5:54:00 PM,1,Single Dinner,Ok,3
22,01/01/2015,5:45:00 PM,5:55:00 PM,3,Dinner with Friends,Ok,5
23,01/01/2015,6:15:00 PM,6:25:00 PM,3,Dinner with Friends,Ok,4
24,01/01/2015,6:15:00 PM,6:26:00 PM,4,Dinner with Friends,Ok,6
25,01/01/2015,6:15:00 PM,6:26:00 PM,2,Sweet Anniversary,Ok,1
26,01/01/2015,6:45:00 PM,6:53:00 PM,3,Dinner with Friends,Ok,5
27,01/01/2015,6:45:00 PM,6:54:00 PM,2,Sweet Anniversary,Ok,2
28,01/01/2015,7:00:00 PM,7:01:00 PM,2,Sweet Anniversary,Ok,3
29,01/01/2015,7:00:00 PM,7:03:00 PM,2,Sweet Anniversary,Ok,1
30,01/01/2015,7:00:00 PM,7:10:00 PM,1,Single Dinner,Ok,2
31,01/01/2015,7:30:00 PM,7:40:00 PM,3,Dinner with Friends,Ok,4
32,01/01/2015,8:45:00 PM,8:50:00 PM,2,Sweet Anniversary,Ok,3
33,01/01/2015,8:45:00 PM,8:51:00 PM,1,Single Dinner,Ok,1
34,01/01/2015,9:15:00 PM,9:16:00 PM,4,Dinner with Friends,Ok,7
35,01/01/2015,9:45:00 PM,9:47:00 PM,2,Sweet Anniversary,Ok,2
36,01/01/2015,10:00:00 PM,10:03:00 PM,1,Single Dinner,Ok,3
37,01/02/2015,11:15:00 AM,,6,Dinner with Friends,Cancelled,8
38,01/02/2015,11:30:00 AM,11:38:00 AM,2,Sweet Anniversary,Ok,2
39,01/02/2015,11:30:00 AM,11:40:00 AM,1,Single Dinner,Ok,3
40,01/02/2015,11:45:00 AM,11:57:00 AM,1,Single Dinner,Ok,1
41,01/02/2015,12:00:00 PM,12:01:00 PM,4,Dinner with Friends,Ok,6
42,01/02/2015,12:15:00 PM,12:21:00 PM,4,Dinner with Friends,Ok,7
43,01/02/2015,12:15:00 PM,12:28:00 PM,6,Dinner with Friends,Ok,8
44,01/02/2015,12:15:00 PM,12:29:00 PM,3,Dinner with Friends,Ok,4
45,01/02/2015,1:00:00 PM,1:13:00 PM,1,Single Dinner,Ok,1
46,01/02/2015,1:30:00 PM,1:34:00 PM,4,Dinner with Friends,Ok,6
47,01/02/2015,2:00:00 PM,2:10:00 PM,1,Single Dinner,Ok,2
48,01/02/2015,3:00:00 PM,3:14:00 PM,3,Dinner with Friends,Ok,5
49,01/02/2015,4:00:00 PM,,10,Important Date,Cancelled,10
50,01/02/2015,4:15:00 PM,4:17:00 PM,2,Sweet Anniversary,Ok,1
51,01/02/2015,5:45:00 PM,5:45:00 PM,1,Single Dinner,Ok,3
52,01/02/2015,5:45:00 PM,5:46:00 PM,1,Single Dinner,Ok,1
53,01/02/2015,5:45:00 PM,5:51:00 PM,4,Dinner with Friends,Ok,6
54,01/02/2015,6:15:00 PM,6:25:00 PM,4,Dinner with Friends,Ok,7
55,01/02/2015,6:15:00 PM,6:25:00 PM,3,Dinner with Friends,Ok,5
56,01/02/2015,6:30:00 PM,6:38:00 PM,4,Dinner with Friends,Ok,7
57,01/02/2015,6:45:00 PM,6:50:00 PM,3,Dinner with Friends,Ok,4
58,01/02/2015,7:15:00 PM,7:23:00 PM,2,Sweet Anniversary,Ok,2
59,01/02/2015,7:15:00 PM,7:26:00 PM,2,Sweet Anniversary,Ok,3
60,01/02/2015,7:30:00 PM,7:32:00 PM,1,Single Dinner,Ok,1
61,01/02/2015,7:45:00 PM,7:50:00 PM,1,Single Dinner,Ok,2
62,01/02/2015,8:45:00 PM,8:53:00 PM,1,Single Dinner,Ok,3
