TIME_ID,EMPLOYEE_ID,IN_TIME,OUT_TIME,DAY
1,1,10:33:00 AM,4:13:00 PM,01/01/2015
2,2,5:53:00 PM,10:16:00 PM,01/01/2015
3,3,11:10:00 AM,3:31:00 PM,01/01/2015
4,4,5:31:00 PM,11:01:00 PM,01/01/2015
5,5,5:15:00 PM,11:16:00 PM,01/01/2015
6,6,11:07:00 AM,3:23:00 PM,01/01/2015
7,7,11:10:00 AM,5:25:00 PM,01/01/2015
8,8,5:36:00 PM,11:57:00 PM,01/01/2015
9,9,5:49:00 PM,10:02:00 PM,01/01/2015
10,10,5:02:00 PM,10:59:00 PM,01/01/2015
11,11,11:41:00 AM,3:32:00 PM,01/01/2015
12,12,11:47:00 AM,3:53:00 PM,01/01/2015
13,13,5:04:00 PM,11:14:00 PM,01/01/2015
14,14,11:39:00 AM,3:41:00 PM,01/01/2015
15,15,10:24:00 AM,3:32:00 PM,01/01/2015
16,16,5:01:00 PM,11:29:00 PM,01/01/2015
17,17,11:45:00 AM,3:32:00 PM,01/01/2015
18,18,11:17:00 AM,3:13:00 PM,01/01/2015
19,19,4:12:00 PM,10:11:00 PM,01/01/2015
20,20,10:38:00 AM,3:46:00 PM,01/01/2015
21,21,5:36:00 PM,10:19:00 PM,01/01/2015
22,22,11:16:00 AM,5:19:00 PM,01/01/2015
23,23,4:23:00 PM,11:35:00 PM,01/01/2015
24,24,4:51:00 PM,11:52:00 PM,01/01/2015
25,25,11:25:00 AM,3:56:00 PM,01/01/2015
26,26,11:50:00 AM,5:59:00 PM,01/01/2015
27,27,4:41:00 PM,10:30:00 PM,01/01/2015
28,28,10:32:00 AM,5:59:00 PM,01/01/2015
29,29,5:55:00 PM,10:42:00 PM,01/01/2015
30,1,11:46:00 AM,3:22:00 PM,02/01/2015
31,2,5:29:00 PM,11:46:00 PM,02/01/2015
32,3,11:07:00 AM,4:00:00 PM,02/01/2015
33,4,4:43:00 PM,11:44:00 PM,02/01/2015
34,5,5:43:00 PM,10:59:00 PM,02/01/2015
35,6,10:40:00 AM,4:09:00 PM,02/01/2015
36,7,10:47:00 AM,4:08:00 PM,02/01/2015
37,8,4:57:00 PM,11:55:00 PM,02/01/2015
38,9,4:55:00 PM,10:10:00 PM,02/01/2015
39,10,5:35:00 PM,11:13:00 PM,02/01/2015
40,11,11:40:00 AM,3:25:00 PM,02/01/2015
41,12,11:34:00 AM,3:14:00 PM,02/01/2015
42,13,5:22:00 PM,11:30:00 PM,02/01/2015
43,14,11:45:00 AM,4:34:00 PM,02/01/2015
44,15,10:42:00 AM,4:26:00 PM,02/01/2015
45,16,4:25:00 PM,11:44:00 PM,02/01/2015
46,17,10:46:00 AM,5:09:00 PM,02/01/2015
47,18,10:17:00 AM,3:35:00 PM,02/01/2015
48,19,4:57:00 PM,11:44:00 PM,02/01/2015
49,20,10:37:00 AM,3:43:00 PM,02/01/2015
50,21,5:54:00 PM,10:25:00 PM,02/01/2015
51,22,11:04:00 AM,5:44:00 PM,02/01/2015
52,23,4:54:00 PM,11:04:00 PM,02/01/2015
53,24,5:51:00 PM,10:56:00 PM,02/01/2015
54,25,10:48:00 AM,4:22:00 PM,02/01/2015
55,26,10:00:00 AM,3:07:00 PM,02/01/2015
56,27,4:40:00 PM,10:41:00 PM,02/01/2015
57,28,11:08:00 AM,4:17:00 PM,02/01/2015
58,29,4:16:00 PM,10:27:00 PM,02/01/2015
59,1,11:17:00 AM,5:51:00 PM,03/01/2015
60,2,4:01:00 PM,10:29:00 PM,03/01/2015
61,3,11:28:00 AM,4:08:00 PM,03/01/2015
62,4,5:43:00 PM,11:34:00 PM,03/01/2015
63,5,5:41:00 PM,11:25:00 PM,03/01/2015
64,6,10:48:00 AM,5:04:00 PM,03/01/2015
65,7,11:08:00 AM,3:04:00 PM,03/01/2015
66,8,5:50:00 PM,11:49:00 PM,03/01/2015
67,9,5:45:00 PM,11:16:00 PM,03/01/2015
68,10,5:55:00 PM,10:04:00 PM,03/01/2015
69,11,10:03:00 AM,4:46:00 PM,03/01/2015
70,12,10:57:00 AM,4:44:00 PM,03/01/2015
71,13,4:07:00 PM,11:45:00 PM,03/01/2015
72,14,10:34:00 AM,5:08:00 PM,03/01/2015
73,15,11:06:00 AM,5:56:00 PM,03/01/2015
74,16,4:19:00 PM,10:39:00 PM,03/01/2015
75,17,11:22:00 AM,5:06:00 PM,03/01/2015
76,18,11:51:00 AM,3:23:00 PM,03/01/2015
77,19,4:52:00 PM,10:06:00 PM,03/01/2015
78,20,10:45:00 AM,4:08:00 PM,03/01/2015
79,21,5:26:00 PM,11:58:00 PM,03/01/2015
80,22,11:23:00 AM,3:23:00 PM,03/01/2015
81,23,5:36:00 PM,10:24:00 PM,03/01/2015
82,24,4:30:00 PM,11:53:00 PM,03/01/2015
83,25,11:25:00 AM,5:15:00 PM,03/01/2015
84,26,11:24:00 AM,4:12:00 PM,03/01/2015
85,27,5:35:00 PM,10:35:00 PM,03/01/2015
86,28,10:51:00 AM,3:27:00 PM,03/01/2015
87,29,5:26:00 PM,11:01:00 PM,03/01/2015
88,1,10:56:00 AM,5:06:00 PM,04/01/2015
89,2,5:52:00 PM,10:17:00 PM,04/01/2015
90,3,10:07:00 AM,4:32:00 PM,04/01/2015
91,4,4:45:00 PM,11:41:00 PM,04/01/2015
92,5,4:26:00 PM,10:25:00 PM,04/01/2015
93,6,11:02:00 AM,3:01:00 PM,04/01/2015
94,7,10:45:00 AM,5:16:00 PM,04/01/2015
95,8,4:18:00 PM,11:13:00 PM,04/01/2015
96,9,5:32:00 PM,10:47:00 PM,04/01/2015
97,10,5:07:00 PM,11:56:00 PM,04/01/2015
98,11,11:17:00 AM,4:43:00 PM,04/01/2015
99,12,11:13:00 AM,5:34:00 PM,04/01/2015
100,13,4:02:00 PM,11:04:00 PM,04/01/2015
101,14,11:29:00 AM,3:51:00 PM,04/01/2015
102,15,10:33:00 AM,5:49:00 PM,04/01/2015
103,16,5:58:00 PM,11:38:00 PM,04/01/2015
104,17,11:54:00 AM,3:21:00 PM,04/01/2015
105,18,10:24:00 AM,3:40:00 PM,04/01/2015
106,19,5:48:00 PM,11:24:00 PM,04/01/2015
